date,year,eyci,adjeyci
20/05/1998,1998.471461,181.00,226.66
21/05/1998,1998.474201,180.75,226.34
22/05/1998,1998.476941,180.75,226.34
25/05/1998,1998.48516,181.00,226.66
26/05/1998,1998.4879,180.50,226.03
27/05/1998,1998.490639,180.00,225.40
28/05/1998,1998.493379,181.50,227.28
29/05/1998,1998.496119,182.75,228.85
01/06/1998,1998.50274,182.50,228.53
02/06/1998,1998.505479,183.00,229.16
03/06/1998,1998.508219,184.25,230.73
04/06/1998,1998.510959,185.00,231.67
05/06/1998,1998.513699,184.00,230.41
09/06/1998,1998.524658,183.50,229.79
10/06/1998,1998.527397,183.50,229.79
11/06/1998,1998.530137,183.25,229.47
12/06/1998,1998.532877,185.00,231.67
15/06/1998,1998.541096,186.50,233.54
16/06/1998,1998.543836,188.25,235.74
17/06/1998,1998.546575,188.75,236.36
18/06/1998,1998.549315,190.25,238.24
19/06/1998,1998.552055,190.00,237.93
22/06/1998,1998.560274,189.50,237.30
23/06/1998,1998.563014,190.50,238.55
24/06/1998,1998.565753,191.25,239.49
25/06/1998,1998.568493,191.25,239.49
26/06/1998,1998.571233,192.00,240.43
29/06/1998,1998.579452,193.25,242.00
30/06/1998,1998.582192,195.00,244.19
01/07/1998,1998.586073,195.25,244.50
02/07/1998,1998.588813,195.50,244.81
03/07/1998,1998.591553,194.50,243.56
06/07/1998,1998.599772,194.75,243.87
07/07/1998,1998.602511,194.50,243.56
08/07/1998,1998.605251,194.00,242.94
09/07/1998,1998.607991,194.75,243.87
10/07/1998,1998.610731,195.75,245.13
13/07/1998,1998.61895,196.50,246.07
14/07/1998,1998.621689,198.25,248.26
15/07/1998,1998.624429,198.75,248.88
16/07/1998,1998.627169,197.75,247.63
17/07/1998,1998.629909,197.25,247.01
20/07/1998,1998.638128,197.50,247.32
21/07/1998,1998.640868,199.00,249.20
22/07/1998,1998.643607,200.25,250.76
23/07/1998,1998.646347,201.00,251.70
24/07/1998,1998.649087,202.25,253.27
27/07/1998,1998.657306,203.75,255.15
28/07/1998,1998.660046,206.50,258.59
29/07/1998,1998.662785,207.00,259.22
30/07/1998,1998.665525,209.25,262.03
31/07/1998,1998.668265,209.75,262.66
03/08/1998,1998.674886,211.25,264.54
04/08/1998,1998.677626,210.25,263.28
05/08/1998,1998.680365,210.50,263.60
06/08/1998,1998.683105,210.25,263.28
07/08/1998,1998.685845,211.25,264.54
10/08/1998,1998.694064,211.25,264.54
11/08/1998,1998.696804,212.75,266.42
12/08/1998,1998.699543,214.25,268.29
13/08/1998,1998.702283,213.50,267.35
14/08/1998,1998.705023,211.50,264.85
17/08/1998,1998.713242,208.75,261.41
18/08/1998,1998.715982,207.75,260.15
19/08/1998,1998.718721,206.50,258.59
20/08/1998,1998.721461,206.50,258.59
21/08/1998,1998.724201,206.75,258.90
24/08/1998,1998.73242,207.50,259.84
25/08/1998,1998.73516,206.50,258.59
26/08/1998,1998.7379,206.75,258.90
27/08/1998,1998.740639,206.75,258.90
28/08/1998,1998.743379,206.75,258.90
31/08/1998,1998.751598,206.25,258.28
01/09/1998,1998.75274,207.25,259.53
02/09/1998,1998.755479,207.75,260.15
03/09/1998,1998.758219,207.00,259.22
04/09/1998,1998.760959,205.75,257.65
07/09/1998,1998.769178,205.00,256.71
08/09/1998,1998.771918,204.25,255.77
09/09/1998,1998.774658,204.75,256.40
10/09/1998,1998.777397,204.50,256.08
11/09/1998,1998.780137,204.75,256.40
14/09/1998,1998.788356,206.00,257.96
15/09/1998,1998.791096,206.50,258.59
16/09/1998,1998.793836,206.00,257.96
17/09/1998,1998.796575,206.50,258.59
18/09/1998,1998.799315,206.50,258.59
21/09/1998,1998.807534,205.75,257.65
22/09/1998,1998.810274,205.75,257.65
23/09/1998,1998.813014,206.25,258.28
24/09/1998,1998.815753,206.50,258.59
25/09/1998,1998.818493,207.75,260.15
28/09/1998,1998.826712,208.25,260.78
29/09/1998,1998.829452,209.00,261.72
30/09/1998,1998.832192,209.50,262.35
01/10/1998,1998.836073,209.50,262.35
02/10/1998,1998.838813,208.50,261.09
05/10/1998,1998.847032,209.25,262.03
06/10/1998,1998.849772,207.50,259.84
07/10/1998,1998.852511,206.25,258.28
08/10/1998,1998.855251,206.00,257.96
09/10/1998,1998.857991,205.25,257.02
12/10/1998,1998.86621,204.00,255.46
13/10/1998,1998.86895,203.75,255.15
14/10/1998,1998.871689,203.50,254.83
15/10/1998,1998.874429,202.00,252.95
16/10/1998,1998.877169,201.25,252.01
19/10/1998,1998.885388,198.00,247.94
20/10/1998,1998.888128,195.75,245.13
21/10/1998,1998.890868,195.75,245.13
22/10/1998,1998.893607,194.75,243.87
23/10/1998,1998.896347,193.50,242.31
26/10/1998,1998.904566,194.00,242.94
27/10/1998,1998.907306,192.75,241.37
28/10/1998,1998.910046,194.50,243.56
29/10/1998,1998.912785,195.25,244.50
30/10/1998,1998.915525,196.50,246.07
02/11/1998,1998.922146,196.75,246.38
03/11/1998,1998.924886,196.75,246.38
04/11/1998,1998.927626,194.75,243.87
05/11/1998,1998.930365,195.00,244.19
06/11/1998,1998.933105,194.50,243.56
09/11/1998,1998.941324,194.50,243.56
10/11/1998,1998.944064,195.50,244.81
11/11/1998,1998.946804,196.75,246.38
12/11/1998,1998.949543,197.00,246.69
13/11/1998,1998.952283,198.75,248.88
16/11/1998,1998.960502,200.00,250.45
17/11/1998,1998.963242,200.50,251.08
18/11/1998,1998.965982,199.75,250.14
19/11/1998,1998.968721,199.75,250.14
20/11/1998,1998.971461,198.25,248.26
23/11/1998,1998.97968,197.50,247.32
24/11/1998,1998.98242,198.50,248.57
25/11/1998,1998.98516,198.50,248.57
26/11/1998,1998.9879,198.50,248.57
